title,price,stock,image_url,brand,material,sub_category_id
Deri Kitap Kılıfı,34.99,25,https://images.unsplash.com/featured/?leather+book+cover&sig=op1,BlendArt,Deri,
Ahşap Kitap Ayracı Seti,12.99,100,https://images.unsplash.com/featured/?wooden+bookmark&sig=op2,BlendArt,Ahşap,
Vintage Masa Lambası,89.99,15,https://images.unsplash.com/featured/?vintage+desk+lamp&sig=op3,RetroLight,Metal,
Kaligrafik Yazı Seti,45.99,30,https://images.unsplash.com/featured/?calligraphy+set&sig=op4,ArtPen,Çelik,
Okuma Gözlüğü Premium,29.99,50,https://images.unsplash.com/featured/?reading+glasses&sig=op5,OptiView,Titanyum,
Kitap Rafı Organizer,54.99,20,https://images.unsplash.com/featured/?book+shelf+organizer&sig=op6,WoodCraft,Bambu,
Mürekkep ve Divit Seti,38.99,40,https://images.unsplash.com/featured/?ink+pen+set&sig=op7,ClassicPen,Cam/Çelik,
Kitap Kokulu Mum,18.99,80,https://images.unsplash.com/featured/?book+scented+candle&sig=op8,BookScents,Soya Mumu,
E-Reader Kılıfı,24.99,60,https://images.unsplash.com/featured/?ereader+case&sig=op9,TechCover,Vegan Deri,
Antik Harita Poster,15.99,70,https://images.unsplash.com/featured/?antique+map+poster&sig=op10,MapArt,Kağıt,
