title,price,stock,image_url,subcategory,artist,dimensions
Yağlı Boya - Boğaziçi Manzarası,320.00,5,https://images.unsplash.com/featured/?bosphorus+oil+painting&sig=art1,painting,Mehmet Yılmaz,60x80 cm
Yağlı Boya - Sonbahar Ormanı,280.00,3,https://images.unsplash.com/featured/?autumn+forest+painting&sig=art2,painting,Ayşe Demir,50x70 cm
Suluboya - İstanbul Silüeti,180.00,8,https://images.unsplash.com/featured/?istanbul+watercolor&sig=art3,painting,Zeynep Kaya,40x60 cm
Bronz Heykel - Dans Eden Figür,450.00,2,https://images.unsplash.com/featured/?bronze+dance+sculpture&sig=art4,sculpture,Can Altın,30x45 cm
Seramik Heykel - Modern Vazo,120.00,10,https://images.unsplash.com/featured/?ceramic+modern+vase&sig=art5,sculpture,Elif Sarı,25x35 cm
Mermer Heykel - Soyut Form,680.00,1,https://images.unsplash.com/featured/?marble+abstract+sculpture&sig=art6,sculpture,Ahmet Taş,40x60 cm
Vintage Plak - Klasik Koleksiyon,89.00,15,https://images.unsplash.com/featured/?vintage+vinyl+music&sig=art7,music,Çeşitli Sanatçılar,31 cm
El Yapımı Keman Minyatürü,135.00,6,https://images.unsplash.com/featured/?handmade+violin+miniature&sig=art8,music,Uğur Çelik,15x40 cm
Makrome Duvar Süsü,75.00,20,https://images.unsplash.com/featured/?macrame+wall+art&sig=art9,crafts,Selin Öz,50x80 cm
Ebru Sanatı Tablo,150.00,12,https://images.unsplash.com/featured/?ebru+marbling+art&sig=art10,crafts,Fatma Nur,40x50 cm
